;0;1;2;3;4;5
0;1.0;1.20406896537518;1.2110075830357039;1.2047403168386432;1.2147623718463143;1.210656688992225
1;1.0;1.2040622421309088;1.210492443880599;1.2049005590039026;1.214148190860887;1.2099885489578275
2;1.0;1.20384355770898;1.2055837965073375;1.2047998103797608;1.208425104258217;1.2035968401662647
3;1.0;1.2039303853348762;1.2086955518617124;1.2040626899787894;1.2129298964983624;1.2067951472108034
4;1.0;1.204132447890864;1.211533086844318;1.205657444242018;1.2161648026855705;1.2105368439248405
5;1.0;1.2038824717510412;1.20866575446329;1.203410493922104;1.2128741525482567;1.2067999995041776
6;1.0;1.204153305904698;1.2130845582604046;1.2052599929700352;1.2177132568421025;1.2128538645925808
7;1.0;1.204121723004058;1.2111771120249117;1.205551721081455;1.215158376305753;1.2106578253011608
8;1.0;1.2040684568892077;1.2088248349817963;1.2060274300273732;1.211472318923316;1.2085048386850714
9;1.0;1.204061844810477;1.2090512736047698;1.2057715857785782;1.2124567828718478;1.208086586010449
10;1.0;1.2041094178338037;1.2113676130104514;1.205249827680929;1.2154743454319155;1.2108237395307855
11;1.0;1.204153979167465;1.2123451673105665;1.205541022884911;1.2164802307968356;1.212237498902615
12;1.0;1.2037411695161773;1.2063103630497747;1.2029118169684272;1.2095322218059184;1.2043460513842992
13;1.0;1.2038791401749669;1.2065501926952258;1.2045767426039968;1.2085228784426036;1.2058858852969514
14;1.0;1.203937213929254;1.2086118719630814;1.2041028617333178;1.2121734050433808;1.207336797002844
15;1.0;1.2039985323266293;1.2101073909747448;1.2041522618149136;1.2139506429450018;1.2092572587843688
16;1.0;1.203890305348461;1.206984358464623;1.2044510367230128;1.2088497106915481;1.2066348025453968
17;1.0;1.2039277960024284;1.2077566494588827;1.2045452104991548;1.2114366485418329;1.2059495176116477
18;1.0;1.2039827906004932;1.2073795195841663;1.2056645298441067;1.2108197666172789;1.2056003103200357
19;1.0;1.2040181819883875;1.209955374749892;1.204577471590986;1.2141118832825073;1.208708272950256
20;1.0;1.2039754447434088;1.2075316673656102;1.2053645273280542;1.2097159283461654;1.2070875745430523
21;1.0;1.2040005630229527;1.2091182395005529;1.204841328875554;1.2133471196835746;1.2073960782961368
22;1.0;1.2039847029134567;1.2096300138030027;1.2042643808974995;1.213785190120911;1.208240459904076
23;1.0;1.2041772413714635;1.2133521248021313;1.2057405310114702;1.218680355768961;1.2125473148386237
